id_advert,modele,size,brand,price,price_decimal,ressell_price,promoted,identic_title_description,short_description,secure_description,has_emoji_description,other_campus_dressing,other_campus_dressing_count,hype_products_dressing,hype_products_dressing_count,other_campus_sell,other_campus_sell_count,hype_products_sell,hype_products_sell_count,description_user,sell_sneaker_account,item_count,total_items_count,given_item_count,taken_item_count,feedback_reputation,followers_count,following_count,gender,photo,is_publish_photos_agreed,expose_location,city,country_title,verification_facebook,verification_google,verification_phone,scam
3983303191,black,38.0,adidas Superstar,59.0,0,118,0,0,1,0,0,1.0,3,0.0,0,0.0,0,0.0,0,1,0,4,4,1,0,0.0,0,0,not_specified,1,0,1,Paris,France,0,0,1,1
3983306282,green,42.0,adidas Superstar,49.9,0,116,0,0,0,0,1,1.0,18,0.0,0,0.0,0,0.0,0,1,0,19,20,1,0,0.0,0,0,not_specified,1,0,1,Saint-Denis,France,0,0,1,1
3982272870,grey,37.0,adidas Superstar,64.0,0,216,0,1,1,0,0,1.0,4,0.0,0,0.0,0,0.0,0,1,0,5,5,3,0,0.0,0,0,not_specified,1,0,1,Paris,France,0,0,1,1
3983302087,green,42.0,adidas Superstar,49.9,0,116,0,0,0,0,1,1.0,18,0.0,0,0.0,0,0.0,0,1,0,19,20,1,0,0.0,0,0,not_specified,1,0,1,Saint-Denis,France,0,0,1,1
3983342422,grey,36.0,adidas Superstar,60.0,0,188,0,1,1,0,0,1.0,4,0.0,0,0.0,0,0.0,0,1,0,5,5,1,0,0.0,0,0,not_specified,1,0,1,Paris,France,0,0,0,1
3974342446,black,38.5,adidas,98.88,1,185,0,0,0,0,1,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1,1,0,0,0.0,0,0,not_specified,0,0,1,Cholet,France,0,0,0,1
3972333110,grey,40.0,adidas Superstar,69.9,0,231,0,0,0,0,0,1.0,3,0.0,0,0.0,0,0.0,0,1,0,4,5,1,0,0.0,0,0,not_specified,1,0,1,Angoulême,France,0,0,1,1
3975877646,black,42.0,adidas,85.0,0,110,0,1,1,0,0,0.0,0,0.0,0,0.3333333333333333,1,0.0,0,1,0,3,13,12,2,0.98,0,0,not_specified,1,0,1,Sancé,France,0,0,0,1
3979945072,black,39.0,adidas,75.0,0,129,0,1,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,4,6,2,0,0.0,0,0,not_specified,1,0,1,Dainville,France,0,0,1,1
3982880924,black,38.0,adidas,89.0,0,118,0,1,1,0,0,0.0,0,0.0,0,0.1666666666666666,1,0.0,0,1,0,1,7,7,2,1.0,1,0,F,1,0,1,Bastia,France,0,0,1,1
3977531779,grey,38.0,adidas Superstar,64.0,0,143,0,0,0,0,0,1.0,2,0.0,0,0.0,0,0.0,0,1,0,3,3,0,0,0.0,0,0,not_specified,1,0,1,Paris,Frankreich,0,0,1,1
3979397652,black,39.0,adidas Superstar,59.98,1,129,0,0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1,2,2,0,0.0,0,0,not_specified,1,0,1,Montreuil,France,0,0,1,1
3983299018,black,36.0,adidas Superstar,59.0,0,111,0,0,1,0,0,1.0,3,0.0,0,0.0,0,0.0,0,1,0,4,4,1,0,0.0,0,0,not_specified,1,0,1,Paris,France,0,0,1,1
3981702364,black,39.0,adidas,85.0,0,129,0,1,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,2,7,6,0,1.0,0,0,not_specified,1,0,1,Saint-Jean-de-Beauregard,France,1,0,0,1
